"resource_name","delivery_date","hour_ending","min_gen_cost"
"AEEC_ANTLP_2","2023-10-02 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-01 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-04 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-03 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-05 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-06 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-10 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-07 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-08 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-09 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-12 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-11 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-15 00:00:00",16,"26.8200000000"
"AEEC_ANTLP_2","2023-10-13 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-10-14 00:00:00",16,"26.8200000000"
"AEEC_ANTLP_2","2023-10-16 00:00:00",16,"26.8200000000"
"AEEC_ANTLP_2","2023-10-20 00:00:00",16,"37.0300000000"
"AEEC_ANTLP_2","2023-10-17 00:00:00",16,"30.5000000000"
"AEEC_ANTLP_2","2023-10-18 00:00:00",16,"34.5700000000"
"AEEC_ANTLP_2","2023-10-19 00:00:00",16,"35.5800000000"
"AEEC_ANTLP_2","2023-10-23 00:00:00",16,"28.9200000000"
"AEEC_ANTLP_2","2023-10-21 00:00:00",16,"28.9200000000"
"AEEC_ANTLP_2","2023-10-22 00:00:00",16,"28.9200000000"
"AEEC_ANTLP_2","2023-10-24 00:00:00",16,"30.1500000000"
"AEEC_ANTLP_2","2023-10-23 00:00:00",16,"28.9200000000"
"AEEC_ANTLP_2","2023-10-25 00:00:00",16,"28.5800000000"
"AEEC_ANTLP_2","2023-10-28 00:00:00",16,"38.1900000000"
"AEEC_ANTLP_2","2023-10-26 00:00:00",16,"30.1700000000"
"AEEC_ANTLP_2","2023-10-27 00:00:00",16,"32.8900000000"
"AEEC_ANTLP_2","2023-10-29 00:00:00",16,"38.1900000000"
"AEEC_ANTLP_2","2023-10-30 00:00:00",16,"38.1900000000"
"AEEC_ANTLP_2","2023-10-31 00:00:00",16,"41.5200000000"
"AEEC_ANTLP_2","2023-11-01 00:00:00",16,"42.7900000000"
"AEEC_ANTLP_2","2023-11-03 00:00:00",16,"30.0800000000"
"AEEC_ANTLP_2","2023-11-02 00:00:00",16,"37.9600000000"
"AEEC_ANTLP_2","2023-11-04 00:00:00",16,"23.2100000000"
"AEEC_ANTLP_2","2023-11-07 00:00:00",16,"26.9400000000"
"AEEC_ANTLP_2","2023-11-05 00:00:00",16,"23.2100000000"
"AEEC_ANTLP_2","2023-11-06 00:00:00",16,"23.2100000000"
"AEEC_ANTLP_2","2023-11-10 00:00:00",16,"32.1200000000"
"AEEC_ANTLP_2","2023-11-08 00:00:00",16,"24.2600000000"
"AEEC_ANTLP_2","2023-11-09 00:00:00",16,"20.7800000000"
"AEEC_ANTLP_2","2023-11-13 00:00:00",16,"32.6900000000"
"AEEC_ANTLP_2","2023-11-11 00:00:00",16,"32.6900000000"
"AEEC_ANTLP_2","2023-11-12 00:00:00",16,"32.6900000000"
"AEEC_ANTLP_2","2023-11-14 00:00:00",16,"32.1300000000"
"AEEC_ANTLP_2","2023-11-15 00:00:00",16,"32.7700000000"
"AEEC_ANTLP_2","2023-11-17 00:00:00",16,"30.8500000000"
"AEEC_ANTLP_2","2023-11-16 00:00:00",16,"34.1000000000"
"AEEC_ANTLP_2","2023-11-18 00:00:00",16,"18.2700000000"
"AEEC_ANTLP_2","2023-11-23 00:00:00",16,"29.9500000000"
"AEEC_ANTLP_2","2023-11-19 00:00:00",16,"18.2700000000"
"AEEC_ANTLP_2","2023-11-20 00:00:00",16,"18.7900000000"
"AEEC_ANTLP_2","2023-11-21 00:00:00",16,"29.1200000000"
"AEEC_ANTLP_2","2023-11-22 00:00:00",16,"31.8900000000"
"AEEC_ANTLP_2","2023-11-24 00:00:00",16,"29.9500000000"
"AEEC_ANTLP_2","2023-11-25 00:00:00",16,"29.9500000000"
"AEEC_ANTLP_2","2023-11-27 00:00:00",16,"36.0900000000"
"AEEC_ANTLP_2","2023-11-26 00:00:00",16,"36.0900000000"
"AEEC_ANTLP_2","2023-11-28 00:00:00",16,"24.8500000000"
"AEEC_ANTLP_2","2023-11-30 00:00:00",16,"30.3100000000"
"AEEC_ANTLP_2","2023-11-29 00:00:00",16,"26.5100000000"
"AEEC_ANTLP_2","2023-12-02 00:00:00",16,"27.8400000000"
"AEEC_ANTLP_2","2023-12-01 00:00:00",16,"31.8900000000"
"AEEC_ANTLP_2","2023-12-03 00:00:00",16,"35.9000000000"
"AEEC_ANTLP_2","2023-12-04 00:00:00",16,"35.8500000000"
"AEEC_ANTLP_2","2023-12-05 00:00:00",16,"28.1900000000"
"AEEC_ANTLP_2","2023-12-06 00:00:00",16,"25.7300000000"
"AEEC_ANTLP_2","2023-12-07 00:00:00",16,"14.5500000000"
"AEEC_ANTLP_2","2023-12-08 00:00:00",16,"8.6300000000"
"AEEC_ANTLP_2","2023-12-09 00:00:00",16,"20.1000000000"
"AEEC_ANTLP_2","2023-12-10 00:00:00",16,"20.1000000000"
"AEEC_ANTLP_2","2023-12-11 00:00:00",16,"20.1000000000"
